,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," "," Zone 2"," Zone 3"," Zone 4"," Zone 5"," "," Zone 2"," Zone 3"," Zone 4"," Zone 5",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
12/21/2019 00:30,4,0.7,0,2,0,0,0.3,2,0,2,0,0,1.3333333333,0,0,0,0,0,0,0
12/21/2019 01:00,34,5.7,13,24,0,10,6.9,6,8,10,5,5,5.8888888889,12.5,9.3888888889,6.5,0,0,0,5
12/21/2019 01:30,25,4.2,9,17,0,6,3.6,4,5,7,5,4,2.25,4.6666666667,3.3055555556,7.75,0,0,1,5
12/21/2019 02:00,13,2.2,5,9,1,6,3.3,2,3,6,1,1,2.1666666667,8.4166666667,4.5833333333,1.1666666667,0.1666666667,0,0,1
12/21/2019 02:30,7,1.2,2,6,1,2,1.4,0,2,2,3,0,0,2.5,1.25,3.4166666667,0,0,0,3
12/21/2019 03:00,14,2.3,3,10,0,6,3.3,2,1,6,3,2,1.1666666667,1.3333333333,11.0833333333,3.0833333333,0,0,1,2
12/21/2019 03:30,14,2.3,7,11,0,4,2.7,1,5,4,3,1,1.8333333333,4.0833333333,3.9166666667,3.8333333333,0,0,0,3
12/21/2019 04:00,6,1.0,3,3,0,1,2.2,1,1,1,2,1,1.3333333333,5.8333333333,1.5,2.5,0,0,0,2
12/21/2019 04:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/21/2019 05:00,14,2.3,4,10,1,3,2.4,2,3,3,4,2,2.5,1.1666666667,4.1666666667,3.9166666667,0,0,0,4
12/21/2019 05:30,11,1.8,2,8,1,4,2.2,2,2,4,1,2,2.6666666667,2.6666666667,4.4166666667,1.1666666667,0,0,0,1
12/21/2019 06:00,16,2.7,16,6,0,3,4.2,2,8,3,1,2,3,11.9444444444,4.3333333333,1.5,0,0,0,1
12/21/2019 06:30,9,1.5,5,6,0,3,2.6,2,2,3,2,0,2.8333333333,2.8333333333,4.8333333333,2.5,0,0,0,2
12/21/2019 07:00,35,5.8,12,21,0,9,6.0,8,6,9,4,8,10.6666666667,10.75,5.6666666667,2.8333333333,0,0,0,4
12/21/2019 07:30,33,5.5,8,29,0,9,5.0,4,8,10,7,4,5.8333333333,9.3055555556,6.4555555556,3.2222222222,0,0,2,6
12/21/2019 08:00,63,10.5,20,44,0,16,8.2,10,11,18,14,10,10,11.7111111111,10.1944444444,9.2388888889,0,2,0,14
12/21/2019 08:30,76,12.7,25,55,0,15,8.6,16,17,18,12,13,11.3444444444,13.0277777778,9.6111111111,8.7380952381,0.3333333333,5,0,10
12/21/2019 09:00,94,15.7,24,73,1,18,11.8,23,18,24,15,14,15.9055555556,18.2825396825,13.9777777778,10.125,0.8333333333,7,1,13
12/21/2019 09:30,143,23.8,58,94,0,35,12.0,29,33,37,20,24,15.3861111111,17.4166666667,13.398478836,13.1083333333,0.6666666667,4,0,18
12/21/2019 10:00,163,27.2,66,103,0,28,12.2,39,35,36,24,29,14.3306878307,18.3738095238,13.1666666667,13.9285714286,1.3333333333,9,2,21
12/21/2019 10:30,232,38.7,82,148,0,40,12.8,61,44,44,37,46,16.9562710438,17.0935185185,13.4579124579,14.35,2.3333333333,9,3,29
12/21/2019 11:00,246,41.0,89,163,1,41,13.0,67,52,44,38,45,16.1893518519,17.8031949532,13.9665343915,13.7303571429,3.1666666667,9,0,32
12/21/2019 11:30,309,51.5,112,204,6,37,14.1,82,70,54,46,57,17.8603174603,19.4905513468,14.1083333333,15.0671296296,3.8333333333,22,5,36
12/21/2019 12:00,320,53.3,118,220,9,57,14.2,75,68,75,61,41,18.1921296296,18.2478535354,15.2067155067,14.5606060606,4.8333333333,33,8,38
12/21/2019 12:30,376,62.7,193,247,1,40,15.0,95,112,60,62,47,19.3854293854,20.1620069175,15.0981379731,15.4286616162,5,35,7,40
12/21/2019 13:00,458,76.3,211,307,6,45,16.5,121,127,71,78,61,20.6362473418,21.8837826797,15.3772061272,15.6600689759,8.8333333333,49,9,46
12/21/2019 13:30,396,66.0,175,270,8,50,16.2,110,98,76,71,41,20.5644313375,20.5324404762,15.7054232804,16.4056818182,7.6666666667,42,13,43
12/21/2019 14:00,478,79.7,211,322,15,55,17.8,130,123,88,84,53,22.1156395892,24.5406220363,16.5038665039,16.1628833585,9.8333333333,64,14,39
12/21/2019 14:30,438,73.0,199,301,7,46,16.8,105,116,87,83,47,21.1038403263,22.0763709974,16.5498566678,15.8011189834,8.3333333333,53,16,55
12/21/2019 15:00,543,90.5,262,313,1,46,17.3,160,127,85,77,94,22.1139546629,21.3296199869,17.3706621538,16.793488529,8.6666666667,57,10,49
12/21/2019 15:30,407,67.8,169,271,4,56,16.9,105,93,80,73,56,21.992513369,21.7246048704,16.8775742776,16.3818447634,7.6666666667,38,10,49
12/21/2019 16:00,402,67.0,152,289,16,42,17.3,114,96,76,75,41,21.9797582973,20.8311597716,16.78125,17.5836741962,9.1666666667,61,17,31
12/21/2019 16:30,456,76.0,175,321,12,64,16.8,111,100,100,97,48,20.8813671024,20.9747771836,16.8963443963,16.6299145299,8.5,62,5,66
12/21/2019 17:00,368,61.3,152,276,5,47,17.0,101,104,64,60,39,21.6419117,23.0272270115,15.445734127,15.7435185185,9.1666666667,23,2,52
12/21/2019 17:30,330,55.0,130,234,3,51,15.0,86,78,61,64,41,19.679005418,17.1901977165,15.4302997928,15.8584498834,6.6666666667,23,1,50
12/21/2019 18:00,353,58.8,153,239,7,51,15.4,86,84,77,68,38,20.5558980493,20.5988095238,14.8667328042,14.4937118437,6.5,42,6,46
12/21/2019 18:30,288,48.0,119,190,6,52,12.3,59,67,59,63,40,16.078968254,16.221969697,14.0625,13.9235042735,1,6,7,57
12/21/2019 19:00,362,60.3,170,184,0,67,11.9,80,68,72,66,76,14.9737272102,17.1005952381,13.9527777778,13.38375814,0,2,5,64
12/21/2019 19:30,352,58.7,149,193,1,67,12.4,78,65,68,67,74,16.8690247253,17.6344586213,13.7849147584,13.5134920635,0.1666666667,2,6,60
12/21/2019 20:00,251,41.8,114,132,2,46,11.4,60,53,47,35,56,15.3349358974,16.0275443511,13.6938431938,11.767989418,0,2,3,31
12/21/2019 20:30,190,31.7,68,111,2,43,9.9,42,30,45,34,39,13.103505291,12.2462962963,12.3679353054,11.7488095238,0,3,7,26
12/21/2019 21:00,146,24.3,76,74,4,23,9.7,33,38,23,22,30,12.6755952381,14.6801587302,10.2976190476,10.8402777778,0,1,2,19
12/21/2019 21:30,132,22.0,53,82,0,27,9.7,26,25,30,29,22,12.7162698413,11.7944444444,11.1880952381,12.7805555556,0,3,4,25
12/21/2019 22:00,116,19.3,59,66,1,29,9.2,20,28,30,20,18,11.8611111111,13.1755952381,10.9009259259,9.8650793651,0.1666666667,2,4,15
12/21/2019 22:30,99,16.5,55,58,1,14,9.2,18,30,15,21,15,11.7583333333,13.3055555556,9.9444444444,10.9222222222,0.1666666667,1,6,15
12/21/2019 23:00,77,12.8,34,51,2,19,9.5,9,18,22,20,8,11.1666666667,12.3722222222,12.0583333333,11.8888888889,0,0,4,19
12/21/2019 23:30,70,11.7,31,46,1,15,8.0,12,18,15,15,10,9.1805555556,9.7916666667,10.9166666667,9.7,0.1666666667,1,6,9
12/22/2019 00:00,61,10.2,27,34,0,15,7.8,14,11,15,10,11,10.8944444444,12,9.5972222222,6.2638888889,0.1666666667,0,2,8
12/22/2019 00:30,42,7.0,19,33,0,11,7.2,4,14,13,7,4,9.25,8.8388888889,10.625,7.1666666667,0,0,4,5
12/22/2019 01:00,31,5.2,17,16,0,5,5.8,7,9,5,3,7,6.3611111111,12.8333333333,7.5,2.4166666667,0,0,2,1
