,," Zone 2",Run Total," Zone 3",Run Total," Zone 4",Run Total," Zone 5",Run Total
12/28/19 0:30,0,0,0,0,0,0,0,0,0
12/28/19 1:00,0,0,0,0,0,0,0,0,0
12/28/19 1:30,0,0,0,0,0,0,0,0,0
12/28/19 2:00,0,0,0,0,0,0,0,0,0
12/28/19 2:30,0,0,0,0,0,0,0,0,0
12/28/19 3:00,0,0,0,0,0,0,0,0,0
12/28/19 3:30,0,0,0,0,0,0,0,0,0
12/28/19 4:00,0,0,0,0,0,0,0,0,0
12/28/19 4:30,0,0,0,0,0,0,0,0,0
12/28/19 5:00,0,0,0,0,0,0,0,0,0
12/28/19 5:30,0,0,0,0,0,0,0,0,0
12/28/19 6:00,0,0,0,0,0,0,0,0,0
12/28/19 6:30,0,0,0,0,0,0,0,0,0
12/28/19 7:00,0,0,0,0,0,0,0,0,0
12/28/19 7:30,0,0,0,0,0,0,0,0,0
12/28/19 8:00,0,0,0,0,0,0,0,0,0
12/28/19 8:30,0,0,0,0,0,0,0,0,0
12/28/19 9:00,0,0,0,0,0,0,0,0,0
12/28/19 9:30,0,0,0,0,0,0,0,0,0
12/28/19 10:00,0,0,0,0,0,0,0,0,0
12/28/19 10:30,0,0,0,0,0,0,0,0,0
12/28/19 11:00,0,0,0,0,0,0,0,0,0
12/28/19 11:30,0,0,0,0,0,0,0,0,0
12/28/19,0,0,0,0,0,0,0,0,0
12/28/19 12:30,0,0,0,0,0,0,0,0,0
12/28/19 13:00,0,0,0,0,0,0,0,0,0
12/28/19 13:30,0,0,0,0,0,0,0,0,0
12/28/19 14:00,0,0,0,0,0,0,0,0,0
12/28/19 14:30,0,0,0,0,0,0,0,0,0
12/28/19 15:00,0,0,0,0,0,0,0,0,0
12/28/19 15:30,0,0,0,0,0,0,0,0,0
12/28/19 16:00,0,0,0,0,0,0,0,0,0
12/28/19 16:30,0,0,0,0,0,0,0,0,0
12/28/19 17:00,0,0,0,0,0,0,0,0,0
12/28/19 17:30,0,0,0,0,0,0,0,0,0
12/28/19 18:00,0,0,0,0,0,0,0,0,0
12/28/19 18:30,7,2,2,2,2,3,3,0,0
12/28/19 19:00,20,8,10,8,10,3,6,1,1
12/28/19 19:30,20,10,20,6,16,4,10,0,1
12/28/19 20:00,9,6,26,3,19,0,10,0,1
12/28/19 20:30,9,3,29,3,22,3,13,0,1
12/28/19 21:00,3,1,30,2,24,0,13,0,1
12/28/19 21:30,4,4,34,0,24,0,13,0,1
12/28/19 22:00,2,1,35,1,25,0,13,0,1
12/28/19 22:30,5,1,36,2,27,2,15,0,1
12/28/19 23:00,3,1,37,1,28,1,16,0,1
12/28/19 23:30,4,0,37,2,30,2,18,0,1
12/29/19 0:00,1,0,37,1,31,0,18,0,1
