,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," Zone 2"," Zone 3"," Zone 4"," Zone 5"," Zone 2"," Zone 3"," Zone 4"," Zone 5",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
02/15/2020 00:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 01:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 01:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 02:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 02:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 03:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 03:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 04:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 04:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 05:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 05:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 06:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 06:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 07:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 07:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 08:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 08:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 09:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 09:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 10:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 10:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 11:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 11:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020 12:00,193,32.2,55,136,2,0,15.3,48,54,43,48,16.1472222222,18.3338293651,13.2224747475,13.45,145,41,7
02/15/2020 12:30,238,39.7,62,176,0,0,16.0,56,80,57,45,16.041025641,18.3383394383,15.0182132682,14.6555555556,187,44,7
02/15/2020 13:00,298,49.7,82,215,1,0,16.5,85,89,63,61,17.0371794872,19.778705578,14.5151094276,14.7118233618,217,74,7
02/15/2020 13:30,292,48.7,90,201,1,0,16.2,78,70,69,75,16.8252765753,18.4875222816,14.5194444444,14.8958078958,208,77,7
02/15/2020 14:00,304,50.7,112,192,0,0,16.6,92,89,64,59,18.7379774095,18.8568813131,14.4196771638,14.4823297073,234,64,6
02/15/2020 14:30,292,48.7,88,204,0,0,15.7,83,75,69,65,17.0325540473,16.7975808913,14.4324494949,14.4962841131,233,55,4
02/15/2020 15:00,356,59.3,104,252,0,0,17.1,91,90,97,78,19.2428571429,19.1948514449,14.9130952381,14.9278530272,285,66,5
02/15/2020 15:30,320,53.3,128,192,0,0,17.6,87,84,71,78,20.9783168428,20.1338994339,14.4574548001,14.9847689076,225,73,22
02/15/2020 16:00,285,47.5,126,159,0,0,15.6,70,83,69,63,15.1046593385,18.9712121212,14.2579604491,13.9675925926,226,49,11
02/15/2020 16:30,280,46.7,121,159,0,0,15.9,75,79,66,60,17.6208855472,17.1711894587,14.7398148148,13.9697649573,248,26,6
02/15/2020 17:00,248,41.3,71,177,0,0,17.3,70,67,61,50,18.8851461039,20.1953216374,15.2082722833,14.8593975469,155,85,8
02/15/2020 17:30,292,48.7,77,215,0,0,17.0,74,77,77,64,19.8001651127,18.6855502885,15.1881673882,14.1563112813,181,83,28
02/15/2020 18:00,294,49.0,92,202,0,0,17.0,90,74,65,65,18.1487408425,19.9352272727,14.8819444444,14.8380952381,170,100,25
02/15/2020 18:30,264,44.0,69,194,1,0,16.2,69,64,64,67,15.9516559829,17.6993055556,15.278968254,15.9445261438,162,87,15
02/15/2020 19:00,206,34.3,56,150,0,0,15.7,61,54,42,49,16.1761243386,17.1858974359,14.2785714286,15.0394781145,138,51,17
02/15/2020 19:30,199,33.2,82,117,0,0,14.2,52,57,52,38,14.3986568987,15.5432946683,13.8347222222,13.1000721501,173,17,9
02/15/2020 20:00,145,24.2,33,112,0,0,12.4,28,29,49,39,11.5694444444,12.4015873016,13.2032227032,12.3279761905,134,2,9
02/15/2020 20:30,135,22.5,41,94,0,0,12.2,34,35,37,29,11.1180555556,14.0907407407,12.3361111111,11.3564814815,118,5,12
02/15/2020 21:00,112,18.7,39,73,0,0,12.5,25,38,27,22,11.4361111111,15.1726851852,10.7277777778,12.8611111111,97,2,13
02/15/2020 21:30,89,14.8,26,63,0,0,10.8,18,24,28,19,10.9126984127,12.1527777778,10.7018518519,9.55,82,1,6
02/15/2020 22:00,70,11.7,20,50,0,0,9.7,17,19,23,11,9.5222222222,11.0555555556,9.1111111111,9.3055555556,61,3,6
02/15/2020 22:30,63,10.5,10,53,0,0,9.2,10,18,22,13,9.6944444444,7.875,10.2805555556,9.0555555556,56,4,3
02/15/2020 23:00,53,8.8,14,39,0,0,11.0,11,19,12,11,10.0333333333,13.7777777778,9.9333333333,10.25,44,1,8
02/15/2020 23:30,61,10.2,12,48,1,0,10.3,10,21,22,8,8.3888888889,13.5833333333,9.7916666667,9.4166666667,57,1,3
02/16/2020 00:00,31,5.2,7,24,0,0,7.1,6,10,9,6,4.4722222222,7.9444444444,10.2222222222,5.9444444444,27,2,2
02/16/2020 00:30,28,4.7,11,17,0,0,8.3,3,12,10,3,4,13,8.3333333333,7.8333333333,27,0,1
02/16/2020 01:00,22,3.7,3,19,0,0,5.4,5,7,6,4,4.0833333333,7.8333333333,6,3.5833333333,20,0,2
02/16/2020 01:30,19,3.2,7,12,0,0,4.6,2,6,7,4,2.1666666667,6.3333333333,7,3.0833333333,14,2,3
02/16/2020 02:00,13,2.2,4,9,0,0,4.0,4,4,3,2,4.75,4.4166666667,3.6666666667,3.1666666667,11,1,1
02/16/2020 02:30,10,1.7,4,6,0,0,2.9,1,4,4,1,1.6666666667,4.1666666667,5,0.8333333333,8,0,2
02/16/2020 03:00,5,0.8,2,3,0,0,2.5,0,2,2,1,0,6,2.8333333333,1.3333333333,5,0,0
02/16/2020 03:30,10,1.7,6,4,0,0,2.2,2,5,3,0,1.75,2.8055555556,4.3333333333,0,8,2,0
02/16/2020 04:00,4,0.7,2,2,0,0,1.1,1,1,0,2,1.3333333333,1.5,0,1.6666666667,3,0,1
02/16/2020 04:30,6,1.0,0,6,0,0,2.0,0,2,3,1,0,2.8333333333,3.8333333333,1.5,6,0,0
02/16/2020 05:00,5,0.8,1,4,0,0,3.0,2,1,1,1,2.6666666667,6.1666666667,1.6666666667,1.5,5,0,0
02/16/2020 05:30,4,0.7,1,3,0,0,1.5,1,0,2,1,1.5,0,3,1.3333333333,4,0,0
02/16/2020 06:00,8,1.3,2,6,0,0,1.7,1,4,3,0,0.6666666667,4.1666666667,2.0833333333,0,7,1,0
02/16/2020 06:30,9,1.5,1,8,0,0,2.9,1,2,5,1,1.3333333333,2,6.6666666667,1.5,8,1,0
02/16/2020 07:00,13,2.2,3,10,0,0,2.8,2,3,7,1,1.5833333333,2.5833333333,5.3611111111,1.6666666667,12,1,0
02/16/2020 07:30,25,4.2,5,20,0,0,11.8,6,7,8,4,21.3333333333,8.3055555556,7.4166666667,10.25,23,2,0
02/16/2020 08:00,43,7.2,16,27,0,0,11.3,11,13,14,5,13.6805555556,15.375,10.5833333333,5.5833333333,34,8,1
02/16/2020 08:30,41,6.8,9,32,0,0,10.8,6,13,17,5,11,11.8333333333,11.7277777778,8.75,31,9,1
02/16/2020 09:00,54,9.0,11,43,0,0,10.9,14,11,20,9,12.125,10.3333333333,11.375,9.8333333333,38,16,0
02/16/2020 09:30,64,10.7,10,54,0,0,15.1,9,17,22,16,17.6666666667,17.9365079365,13.725,11.0972222222,48,16,0
02/16/2020 10:00,91,15.2,15,76,0,0,16.4,15,17,33,26,16.1944444444,20.0388888889,15.1884920635,14.1226190476,69,21,1
02/16/2020 10:30,110,18.3,21,89,0,0,15.9,26,35,30,19,21.8027777778,18.458531746,12.876010101,10.3833333333,86,24,0
02/16/2020 11:00,142,23.7,17,125,0,0,15.3,29,42,43,28,17.9358465608,16.3527777778,14,12.9503968254,118,23,1
02/16/2020 11:30,150,25.0,29,121,0,0,15.6,36,47,33,34,14.7986111111,17.6397727273,16.3338383838,13.7638888889,122,26,2
02/16/2020 12:00,172,28.7,44,128,0,0,15.1,40,44,55,33,15.185515873,20.0805555556,13.0565934066,12.0727513228,144,25,3
02/16/2020 12:30,211,35.2,63,148,0,0,16.4,47,60,54,50,17.6990740741,18.5079124579,14.6172558923,14.8721440596,162,47,2
02/16/2020 13:00,209,34.8,61,148,0,0,15.0,47,49,68,45,17.6084401709,15.7306776557,13.6808404558,13.1579365079,177,30,2
02/16/2020 13:30,278,46.3,82,196,0,0,16.8,67,77,79,55,17.7472222222,19.8480235043,15.7788299663,13.7358058608,223,53,2
02/16/2020 14:00,242,40.3,57,185,0,0,15.4,56,57,66,63,15.518037518,16.8228174603,14.54488601,14.5657153032,205,33,4
02/16/2020 14:30,214,35.7,64,150,0,0,15.2,52,50,65,47,16.2775132275,15.9421837422,14.4482220666,14.1333333333,187,26,1
02/16/2020 15:00,259,43.2,81,178,0,0,16.0,65,68,69,57,17.7227272727,16.9039488289,14.9960678211,14.3533730159,225,32,2
02/16/2020 15:30,266,44.3,94,172,0,0,15.8,68,62,71,65,14.9492650868,17.919023569,15.3456751582,14.8949300699,200,54,12
02/16/2020 16:00,274,45.7,123,151,0,0,15.0,73,75,68,58,14.4453961072,16.9334866522,14.8105769231,13.7579520697,246,20,8
02/16/2020 16:30,245,40.8,95,150,0,0,15.8,62,67,57,59,16.8273448773,18.2297841048,14.1546717172,14.1517857143,220,24,1
02/16/2020 17:00,259,43.2,84,175,0,0,15.8,72,69,66,52,18.4484162896,17.4644510582,14.409508547,12.8200637326,236,20,3
02/16/2020 17:30,277,46.2,70,207,0,0,15.6,78,74,76,49,17.4365117339,18.5814393939,13.0635345047,13.1861111111,225,34,18
02/16/2020 18:00,310,51.7,93,217,0,0,16.9,95,79,72,64,19.1873955723,18.9378998316,14.8218554594,14.7825854701,201,101,8
02/16/2020 18:30,260,43.3,72,188,0,0,17.2,70,75,67,48,20.2456349206,18.6254426129,14.6240680616,15.1386904762,153,98,9
02/16/2020 19:00,192,32.0,62,130,0,0,14.5,43,61,42,46,14.1273148148,16.9641414141,12.5332491582,14.2674603175,115,63,14
02/16/2020 19:30,185,30.8,58,127,0,0,14.8,40,55,50,40,16.4487734488,16.6222222222,13.1222832723,12.862037037,165,13,7
02/16/2020 20:00,148,24.7,43,105,0,0,12.3,31,36,45,36,11.1220238095,14.6916666667,12.0813492063,11.3298941799,129,4,15
02/16/2020 20:30,115,19.2,28,87,0,0,12.1,21,32,35,27,12.1777777778,12.7103174603,11.6353174603,11.7142857143,107,1,7
02/16/2020 21:00,78,13.0,29,49,0,0,11.0,20,23,15,20,12.7916666667,9.6944444444,9.5,11.8579365079,65,3,10
02/16/2020 21:30,63,10.5,17,46,0,0,11.9,13,22,18,10,11.6111111111,14.25,11.6666666667,10.1944444444,59,3,1
02/16/2020 22:00,59,9.8,10,49,0,0,8.7,8,11,23,17,5.6388888889,9.6666666667,11,8.5277777778,54,1,4
02/16/2020 22:30,45,7.5,11,34,0,0,8.5,9,10,18,8,7,9.9444444444,9.0535714286,7.8888888889,43,0,2
02/16/2020 23:00,39,6.5,12,27,0,0,8.4,15,13,5,6,11.0555555556,12.2777777778,5.5833333333,4.75,34,2,3
02/16/2020 23:30,32,5.3,10,22,0,0,6.8,4,14,9,5,2.5,13.0833333333,8,3.75,29,1,2
02/17/2020 00:00,39,6.5,7,31,1,0,8.8,10,13,12,4,8.25,17.5555555556,5.5555555556,3.75,36,1,2
02/17/2020 00:30,8,1.3,2,6,0,0,2.7,2,2,3,1,2.3333333333,2.8333333333,4.3333333333,1.3333333333,8,0,0
02/17/2020 01:00,10,1.7,2,8,0,0,2.5,1,1,5,3,1.3333333333,1.5,5,2.1666666667,7,1,2
02/17/2020 01:30,14,2.3,5,9,0,0,5.0,4,3,5,2,5.8333333333,8.4166666667,4.0833333333,1.6666666667,14,0,0
02/17/2020 02:00,6,1.0,0,6,0,0,1.9,1,3,2,0,1.1666666667,2.75,3.5,0,6,0,0
02/17/2020 02:30,9,1.5,3,6,0,0,2.5,1,4,1,3,1.6666666667,3.5,1.1666666667,3.6666666667,9,0,0
02/17/2020 03:00,6,1.0,2,4,0,0,2.4,0,2,4,0,0,5.3333333333,4.25,0,6,0,0
02/17/2020 03:30,9,1.5,4,5,0,0,2.6,2,2,2,3,2,1.8333333333,3.1666666667,3.5,9,0,0
02/17/2020 04:00,4,0.7,0,4,0,0,1.4,1,1,2,0,1,1.3333333333,3.1666666667,0,3,1,0
02/17/2020 04:30,2,0.3,0,2,0,0,0.8,0,0,1,1,0,0,1.6666666667,1.5,2,0,0
02/17/2020 05:00,5,0.8,3,2,0,0,1.4,0,3,2,0,0,3.0833333333,2.3333333333,0,5,0,0
02/17/2020 05:30,5,0.8,1,4,0,0,1.9,1,0,4,0,1.1666666667,0,6.25,0,5,0,0
02/17/2020 06:00,6,1.0,3,3,0,0,2.5,1,3,2,0,3.1666666667,4.6666666667,2.3333333333,0,6,0,0
02/17/2020 06:30,15,2.5,5,10,0,0,3.0,1,6,6,2,1.3333333333,4.5,3.5555555556,2.6666666667,15,0,0
02/17/2020 07:00,35,5.8,5,30,0,0,9.2,7,9,12,7,6.75,14.3888888889,8.6111111111,7.1111111111,33,1,1
02/17/2020 07:30,39,6.5,16,23,0,0,9.9,13,10,8,8,12.1388888889,11.2083333333,7.6666666667,8.7222222222,34,3,2
02/17/2020 08:00,84,14.0,23,61,0,0,13.0,15,31,24,14,13.3444444444,13.3107864358,13.9930555556,11.5416666667,59,21,4
02/17/2020 08:30,100,16.7,21,79,0,0,15.3,20,24,31,25,16.9388888889,17.5416666667,13.2916666667,13.6138888889,64,33,3
02/17/2020 09:00,121,20.2,24,97,0,0,15.6,33,25,32,31,18.2952380952,18.7567460317,12.3305555556,13.1673280423,77,36,8
02/17/2020 09:30,105,17.5,18,87,0,0,13.6,21,26,34,24,13.1333333333,16.0722222222,12.3529100529,12.9291666667,77,28,0
02/17/2020 10:00,126,21.0,24,102,0,0,14.5,23,40,33,30,14.8777777778,16.6208333333,13.3753968254,13.0873015873,89,30,7
02/17/2020 10:30,133,22.2,29,104,0,0,16.2,30,41,34,28,16.1781746032,22.1212606838,12.9468013468,13.4444444444,92,29,12
02/17/2020 11:00,162,27.0,22,140,0,0,16.0,44,47,38,33,18.3262085137,18.5009920635,13.2391053391,14.0404761905,111,41,10
02/17/2020 11:30,191,31.8,43,148,0,0,15.7,43,48,60,40,17.2495791246,16.8374218374,13.9023199023,14.9906204906,148,34,9
