,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2"," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
04/01/2020 00:30,11,1.8,4,5,0,0,3.3,6,2,1,2,8.8333333333,1.8333333333,0,2.3333333333,7,0,0
04/01/2020 01:00,4,0.7,0,4,0,0,1.2,2,0,1,1,2.5,0,1,1.1666666667,3,1,0
04/01/2020 01:30,8,1.3,4,4,0,0,2.7,4,1,2,1,4.9166666667,1.5,3,1.3333333333,8,0,0
04/01/2020 02:00,7,1.2,1,6,0,0,1.9,2,0,1,4,2.6666666667,0,1.1666666667,3.8333333333,7,0,0
04/01/2020 02:30,3,0.5,1,2,0,0,1.1,1,1,0,1,1.6666666667,1.6666666667,0,1.1666666667,2,1,0
04/01/2020 03:00,5,0.8,2,3,0,0,1.9,2,0,1,2,3.3333333333,0,0.8333333333,3.3333333333,5,0,0
04/01/2020 03:30,4,0.7,0,4,0,0,1.5,1,1,0,2,2,1.8333333333,0,2.3333333333,4,0,0
04/01/2020 04:00,7,1.2,3,4,0,0,1.9,3,1,0,3,3.25,1.6666666667,0,2.75,7,0,0
04/01/2020 04:30,4,0.7,0,4,0,0,1.0,0,0,1,3,0,0,1,3.1666666667,4,0,0
04/01/2020 05:00,4,0.7,1,3,0,0,1.4,1,1,0,2,1.5,1.3333333333,0,2.8333333333,4,0,0
04/01/2020 05:30,2,0.3,1,1,0,0,0.7,1,0,0,1,1.5,0,0,1.3333333333,2,0,0
04/01/2020 06:00,4,0.7,0,4,0,0,0.8,2,0,0,2,1.8333333333,0,0,1.3333333333,4,0,0
04/01/2020 06:30,4,0.7,0,4,0,0,1.0,1,0,2,1,1.3333333333,0,1.5,1.3333333333,3,1,0
04/01/2020 07:00,20,3.3,3,17,0,0,6.8,5,1,6,8,11,1.3333333333,7.8333333333,6.8333333333,20,0,0
04/01/2020 07:30,32,5.3,2,30,0,0,7.0,3,5,8,16,4.8333333333,5.3333333333,7.7222222222,10.2555555556,31,0,1
04/01/2020 08:00,57,9.5,3,54,0,0,13.1,9,8,16,24,14.3472222222,16.6111111111,10.8,10.6587301587,36,17,4
04/01/2020 08:30,58,9.7,8,50,0,0,12.1,12,11,21,14,13.9861111111,12.5555555556,10.3263888889,11.525,28,25,5
04/01/2020 09:00,113,18.8,28,85,0,0,12.9,28,15,31,39,15.7166666667,11.3888888889,12.443452381,12.0208333333,77,32,4
04/01/2020 09:30,93,15.5,18,75,0,0,16.7,21,11,26,35,19.7083333333,17.1388888889,15.6222222222,14.4009259259,53,34,6
04/01/2020 10:00,108,18.0,24,84,0,0,16.1,25,24,28,31,18.4305555556,14.9861111111,16.1587301587,14.7597222222,75,26,7
04/01/2020 10:30,122,20.3,29,92,1,0,16.9,36,12,29,45,17.0317460317,19.6166666667,15.9861111111,14.8273148148,82,32,8
