,," 04 Eb Through #1",Run Total," 04 Eb Through #3",Run Total," 07 Eb Left Turn #1",Run Total," 07 Eb Left Turn #2",Run Total
5/29/20 0:30,0,0,0,0,0,0,0,0,0
5/29/20 1:00,0,0,0,0,0,0,0,0,0
5/29/20 1:30,0,0,0,0,0,0,0,0,0
5/29/20 2:00,0,0,0,0,0,0,0,0,0
5/29/20 2:30,0,0,0,0,0,0,0,0,0
5/29/20 3:00,0,0,0,0,0,0,0,0,0
5/29/20 3:30,0,0,0,0,0,0,0,0,0
5/29/20 4:00,0,0,0,0,0,0,0,0,0
5/29/20 4:30,0,0,0,0,0,0,0,0,0
5/29/20 5:00,0,0,0,0,0,0,0,0,0
5/29/20 5:30,0,0,0,0,0,0,0,0,0
5/29/20 6:00,0,0,0,0,0,0,0,0,0
5/29/20 6:30,0,0,0,0,0,0,0,0,0
5/29/20 7:00,0,0,0,0,0,0,0,0,0
5/29/20 7:30,0,0,0,0,0,0,0,0,0
5/29/20 8:00,0,0,0,0,0,0,0,0,0
5/29/20 8:30,0,0,0,0,0,0,0,0,0
5/29/20 9:00,0,0,0,0,0,0,0,0,0
5/29/20 9:30,0,0,0,0,0,0,0,0,0
5/29/20 10:00,0,0,0,0,0,0,0,0,0
5/29/20 10:30,0,0,0,0,0,0,0,0,0
5/29/20 11:00,0,0,0,0,0,0,0,0,0
5/29/20 11:30,0,0,0,0,0,0,0,0,0
5/29/20,0,0,0,0,0,0,0,0,0
5/29/20 12:30,0,0,0,0,0,0,0,0,0
5/29/20 13:00,7,1,1,4,4,1,1,1,1
5/29/20 13:30,4,0,1,2,6,0,1,2,3
5/29/20 14:00,3,1,2,1,7,1,2,0,3
5/29/20 14:30,6,1,3,1,8,1,3,3,6
5/29/20 15:00,0,0,3,0,8,0,3,0,6
5/29/20 15:30,0,0,3,0,8,0,3,0,6
5/29/20 16:00,6,0,3,4,12,0,3,2,8
5/29/20 16:30,6,2,5,0,12,0,3,4,12
5/29/20 17:00,1,0,5,1,13,0,3,0,12
5/29/20 17:30,0,0,5,0,13,0,3,0,12
5/29/20 18:00,3,0,5,1,14,1,4,1,13
5/29/20 18:30,4,0,5,3,17,0,4,1,14
5/29/20 19:00,2,0,5,1,18,0,4,1,15
5/29/20 19:30,0,0,5,0,18,0,4,0,15
5/29/20 20:00,0,0,5,0,18,0,4,0,15
5/29/20 20:30,0,0,5,0,18,0,4,0,15
5/29/20 21:00,0,0,5,0,18,0,4,0,15
5/29/20 21:30,4,3,8,0,18,0,4,1,16
5/29/20 22:00,3,2,10,0,18,0,4,1,17
5/29/20 22:30,6,1,11,2,20,0,4,3,20
5/29/20 23:00,5,1,12,4,24,0,4,0,20
5/29/20 23:30,1,0,12,0,24,0,4,1,21
5/30/20 0:00,1,0,12,1,25,0,4,0,21
5/30/20 0:30,2,1,13,0,25,0,4,1,22
5/30/20 1:00,0,0,13,0,25,0,4,0,22
